Destinasi,Rule_Score,Content_Score,Hybrid_Score,Rank_Rule,Rank_Content,Rank_Hybrid,Delta_Rank
Pantai Pringjono,0.0,0.0,0.0,1,57,57,-56
Pantai Sundak,0.0,0.0,0.0,1,57,57,-56
Pantai Srakung,0.0,0.0,0.0,1,57,57,-56
Pantai Jogan,0.0,0.0,0.0,1,57,57,-56
Gunung Gajah ,0.0,0.0,0.0,1,57,57,-56
Sesar Opak Bukit Mengger,0.0,0.0,0.0,1,57,57,-56
Museum Batik,0.0,0.0,0.0,1,57,57,-56
Eks. Pengepul Nila Bulurejo,0.0,0.0,0.0,1,57,57,-56
Pantai Ngrenehan ,0.0,0.0,0.0,1,57,57,-56
Puncak Sosok,0.0,0.0,0.0,1,57,57,-56
Museum Perjuangan,0.0,0.0,0.0,1,57,57,-56
Makam Girigondo,0.0,0.0,0.0,1,57,57,-56
Candi Barong,0.0,0.0,0.0,1,57,57,-56
Puncak Kleco,0.0,0.0,0.0,1,57,57,-56
Bukit Wisata Pule Payung,0.0,0.0,0.0,1,57,57,-56
Museum Pendidikan Indonesia,0.0,0.0,0.0,1,57,57,-56
Puncak Suroloyo,0.0,0.0,0.0,1,57,57,-56
Gua Gajah Lemahbang ,0.0,0.0,0.0,1,57,57,-56
Pantai Nglambor,0.0,0.0,0.0,1,57,57,-56
Pantai Wediombo,0.0,0.0,0.0,1,57,57,-56
Lembah Kars Mulo (Watu Mabur Lemahbang Rock Cliff),0.0,0.0,0.0,1,57,57,-56
