dest1,dest2,similarity,jenis1,jenis2
Tembi Rumah Budaya,Pantai Congot,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Kawasan Konservasi Mangrove Baros,0.47689724169351244,Budaya,Alam
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Jomblang,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Bukit Watugede,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Banyutibo,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Ngobaran,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Torohudan ,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Sarangan,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Pulang Sawal,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Parangtritis,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Mangrove Wanatirta,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Pantai Sepanjang ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Baron,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Nglolang ,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Bukit Penguk Kediwung,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Air Terjun Banyunibo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Tahura Bunder,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Pantai Parangkusumo,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Watu Jagal,0.47689724169351244,Budaya,Alam
Tembi Rumah Budaya,Lava Bantal,0.47689724169351244,Budaya,Alam
Gua Maria Tritis,Wisata Alam Watu Gendong Beji ,0.47689724169351244,Budaya,Alam
Bukit lintang sewu,Museum Kereta Kraton/ Museum Wahanarata,0.47689724169351244,Alam,Budaya
Museum Serat Holistik Kehidupan Susilawati Susmoni,Gua Tapan,0.47689724169351244,Budaya,Alam
