title,rata2_bintang,std_bintang,jumlah_ulasan,rasio_positif,rasio_netral,rasio_negatif,confidence_avg,skor_rekomendasi
Gunung Kendil,4.816326530612245,0.6348710298082564,49,0.32653061224489793,0.08163265306122448,0.5918367346938775,0.9134815148534221,0.6448979591836734
Museum Biology,4.638297872340425,0.895047531283252,47,0.3617021276595745,0.0425531914893617,0.5957446808510638,0.9087665092523531,0.6446808510638298
Museum Ullen Sentalu,4.5625,0.8969511004484833,48,0.375,0.16666666666666666,0.4583333333333333,0.8413142394526524,0.64375
Wisata Alam Kali Gowang,4.5625,0.727438428093173,16,0.375,0.0,0.625,0.9156158736577314,0.64375
Museum Dewantara Kirti Griya,4.945945945945946,0.22924343513512563,37,0.2972972972972973,0.13513513513513514,0.5675675675675675,0.8638728919679758,0.6432432432432432
Museum Rumah Garuda,4.675675675675675,0.6689151272377143,37,0.35135135135135137,0.21621621621621623,0.43243243243243246,0.8004028790186236,0.6432432432432432
Geoforest Watu Payung Turunan,4.362068965517241,1.1949935896777193,58,0.41379310344827586,0.10344827586206896,0.4827586206896552,0.8888839667942177,0.6431034482758621
Pantai Glagah,4.541666666666667,0.9884079899565408,48,0.375,0.14583333333333334,0.4791666666666667,0.8758679535765332,0.6416666666666667
Kraton Jogja,4.862068965517241,0.5808945030255669,29,0.3103448275862069,0.13793103448275862,0.5517241379310345,0.8842141495095194,0.6413793103448275
Pictniq,4.37037037037037,1.170329679342878,54,0.4074074074074074,0.14814814814814814,0.4444444444444444,0.875749575512575,0.6407407407407407
Museum Padepokan Sumber Karahayon,4.4,0.8944271909999161,5,0.4,0.0,0.6,0.9094776073012412,0.6400000000000001
Gua Jomblang ,4.9,0.316227766016838,10,0.3,0.3,0.4,0.8329715933746927,0.64
Pantai Ngetun,4.447761194029851,1.048571641597363,67,0.3880597014925373,0.07462686567164178,0.5373134328358209,0.8860029188997158,0.6388059701492537
Pantai Sarangan,4.867924528301887,0.3940780793903959,53,0.3018867924528302,0.09433962264150944,0.6037735849056604,0.8829702903637616,0.6377358490566037
